"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024222",3844.88345361987,-2.08922625610004,0.206204351242991,-10.1318242971416,3.99132313846355e-24,3.60037303705105e-21
"ENSMUSG00000020048",11970.2405824675,-1.36117508480269,0.13450727477227,-10.1197135032827,4.51735957691301e-24,3.88084210128988e-21
"ENSMUSG00000070436",1666.14057157687,-2.25447018130752,0.226228908559178,-9.96543808510571,2.15919830686672e-23,1.77064075700829e-20
"ENSMUSG00000014226",1349.70381968445,-1.48291651124201,0.150502005831298,-9.85313453499252,6.64389517205351e-23,5.21141359995728e-20
"ENSMUSG00000024803",69.6690149951584,-3.12191385612755,0.319164809250427,-9.78151025941584,1.35178179141626e-22,1.01614563745586e-19
"ENSMUSG00000010755",628.74321650488,-1.20018973129894,0.122829642751759,-9.77117334554611,1.49708077372264e-22,1.08035336954921e-19
"ENSMUSG00000021270",8681.15280636124,-2.60221819327136,0.268304011445867,-9.69876737678363,3.05162885389293e-22,2.11747831358009e-19
"ENSMUSG00000025757",1316.09859284697,-1.69506206112808,0.175224241607286,-9.67367326335511,3.90118682183798e-22,2.60671523899182e-19
"ENSMUSG00000058672",752.023544986039,-1.50026879711568,0.159378107348587,-9.41326774469938,4.80947122181605e-21,3.09884536831369e-18
"ENSMUSG00000083396",1799.34142439996,-2.38169549502158,0.257285479873353,-9.25701480003439,2.10227492912572e-20,1.30783248263301e-17
"ENSMUSG00000032285",1017.24952200585,-2.23070617754976,0.242601206415919,-9.194950884644,3.75165948666616e-20,2.25612295996481e-17
"ENSMUSG00000092274",37655.6076445179,-1.15537447870227,0.126125756356834,-9.16049593735235,5.16593533691454e-20,3.00640772300888e-17
"ENSMUSG00000015837",12089.0005860299,-0.627595535714637,0.0691805121965974,-9.07185442529152,1.1700835899779e-19,6.59671188962228e-17
"ENSMUSG00000028410",10537.8409267203,-2.29855246295178,0.254161616288978,-9.04366480081853,1.51505330572812e-19,8.28275051170938e-17
"ENSMUSG00000020773",725.513807167242,-0.936462073708449,0.104825626337387,-8.93352233064075,4.12656005062422e-19,2.18962558450916e-16
"ENSMUSG00000060317",2893.26634279787,-2.10557030161346,0.236400409398921,-8.90679634171173,5.25284264946672e-19,2.70761526397226e-16
"ENSMUSG00000015143",791.945146699853,-1.06317466180431,0.119711273470596,-8.88115739630358,6.61682497173815e-19,3.31594831430911e-16
"ENSMUSG00000026353",2455.9395974016,-0.591658698765149,0.067010989043006,-8.82927870808529,1.05352902588441e-18,5.13695058269749e-16
"ENSMUSG00000017756",3110.74169648207,0.870308876630318,0.0987126021483834,8.81659340032473,1.17994775461728e-18,5.60195722132903e-16
"ENSMUSG00000041372",1391.8032513851,0.843008842379193,0.0958982622539742,8.79065816799258,1.48686322155873e-18,6.87807676413872e-16
"ENSMUSG00000093798",6084.20916476481,-1.59166963689378,0.181440609652181,-8.7724001806706,1.74897541417331e-18,7.88831636177518e-16
"ENSMUSG00000086868",630.095824045016,0.976265917467605,0.111540459219264,8.75257215454426,2.08544099560141e-18,9.17644902479146e-16
"ENSMUSG00000033653",1586.13008618376,1.07066573746186,0.123924714372584,8.63964660223357,5.6387166850694e-18,2.42209732655564e-15
"ENSMUSG00000066357",936.469231460761,1.15253799579972,0.133629103530379,8.62490255004744,6.41472536107168e-18,2.69135023811847e-15
"ENSMUSG00000004460",2463.59089510651,-0.763209572951896,0.0887430381532023,-8.60021911391316,7.95640476730082e-18,3.26230678197441e-15
"ENSMUSG00000041945",1099.5650630062,1.39137336682431,0.162312824620645,8.57217148476224,1.01551717884e-17,4.07132120521165e-15
"ENSMUSG00000115497",134.097427843761,-1.61051000950466,0.188741294619014,-8.53289690926183,1.42727864124225e-17,5.597724775359e-15
"ENSMUSG00000032410",722.718365251371,0.68084385641312,0.0798981002184501,8.52140231809791,1.57632931068199e-17,6.05075682851359e-15
"ENSMUSG00000042622",121.748563287734,-3.80775452376862,0.447562520569624,-8.50776003076038,1.77325720621776e-17,6.61285434426055e-15
"ENSMUSG00000032575",1550.267868339,-2.09827439901022,0.246673648973402,-8.50627704962706,1.79607484545628e-17,6.61285434426055e-15
"ENSMUSG00000029616",2388.31029463963,-0.597982535417989,0.0708588101820775,-8.43907107502121,3.19869552211155e-17,1.15415331828829e-14
"ENSMUSG00000009566",2103.60611921017,0.645520099091301,0.0765913996226454,8.42810161808877,3.51317921548533e-17,1.24276992601119e-14
"ENSMUSG00000100801",24778.5468515994,-1.60130705619348,0.19019609114229,-8.41924272247795,3.78925617680711e-17,1.31465328241879e-14
"ENSMUSG00000083261",611.599419424487,-2.44151686862831,0.290167602446528,-8.41416080927998,3.95717553908782e-17,1.34700762076761e-14
"ENSMUSG00000015656",39226.6359739831,-1.59752487834643,0.190423791016285,-8.38931348767137,4.88989184828582e-17,1.63367664509119e-14
"ENSMUSG00000089712",736.028627215751,-1.64094002606242,0.196690458750247,-8.34275356562183,7.25803178933258e-17,2.38076639111544e-14
"ENSMUSG00000107951",2753.44502640325,-1.62821141653887,0.195638822744021,-8.32253738650464,8.60999519222836e-17,2.77380220112485e-14
"ENSMUSG00000019055",1101.55373307793,-0.819402835082875,0.0989006461939195,-8.28511103432257,1.17998945162856e-16,3.73477012225102e-14
"ENSMUSG00000003814",17365.209736071,-0.822552734576975,0.0994916233332149,-8.2675576799275,1.36731095318847e-16,4.25304429421953e-14
"ENSMUSG00000020571",3893.27051796898,-0.97191888399768,0.118158268658826,-8.22556808786722,1.94267871859424e-16,5.94031640036588e-14
"ENSMUSG00000029467",13143.0706189287,-1.11360095043608,0.136129726840349,-8.18043917580247,2.82811217669181e-16,8.50366196328282e-14
"ENSMUSG00000089774",8131.43058484839,-2.38135171436212,0.292085789489035,-8.15291876584608,3.55244250306782e-16,1.05064942947289e-13
